[Sample Setup]						
Well	Well Position	Sample Name	Target Name	Task	Reporter	Quencher
1	A1	0	IC	UNKNOWN	TAMRA	none
1	A1	0	RNaseP	UNKNOWN	CY5	none
1	A1	0	SARS	UNKNOWN	FAM	none
2	A2	0	IC	UNKNOWN	TAMRA	none
2	A2	0	RNaseP	UNKNOWN	CY5	none
2	A2	0	SARS	UNKNOWN	FAM	none
3	A3	0	IC	UNKNOWN	TAMRA	none
3	A3	0	RNaseP	UNKNOWN	CY5	none
3	A3	0	SARS	UNKNOWN	FAM	none
4	A4	0	IC	UNKNOWN	TAMRA	none
4	A4	0	RNaseP	UNKNOWN	CY5	none
4	A4	0	SARS	UNKNOWN	FAM	none
5	A5	0	IC	UNKNOWN	TAMRA	none
5	A5	0	RNaseP	UNKNOWN	CY5	none
5	A5	0	SARS	UNKNOWN	FAM	none
6	A6	0	IC	UNKNOWN	TAMRA	none
6	A6	0	RNaseP	UNKNOWN	CY5	none
6	A6	0	SARS	UNKNOWN	FAM	none
7	A7	0	IC	UNKNOWN	TAMRA	none
7	A7	0	RNaseP	UNKNOWN	CY5	none
7	A7	0	SARS	UNKNOWN	FAM	none
8	A8	0	IC	UNKNOWN	TAMRA	none
8	A8	0	RNaseP	UNKNOWN	CY5	none
8	A8	0	SARS	UNKNOWN	FAM	none
9	A9	0	IC	UNKNOWN	TAMRA	none
9	A9	0	RNaseP	UNKNOWN	CY5	none
9	A9	0	SARS	UNKNOWN	FAM	none
10	A10	0	IC	UNKNOWN	TAMRA	none
10	A10	0	RNaseP	UNKNOWN	CY5	none
10	A10	0	SARS	UNKNOWN	FAM	none
11	A11	0	IC	UNKNOWN	TAMRA	none
11	A11	0	RNaseP	UNKNOWN	CY5	none
11	A11	0	SARS	UNKNOWN	FAM	none
12	A12	0	IC	UNKNOWN	TAMRA	none
12	A12	0	RNaseP	UNKNOWN	CY5	none
12	A12	0	SARS	UNKNOWN	FAM	none
13	A13	0	IC	UNKNOWN	TAMRA	none
13	A13	0	RNaseP	UNKNOWN	CY5	none
13	A13	0	SARS	UNKNOWN	FAM	none
14	A14	0	IC	UNKNOWN	TAMRA	none
14	A14	0	RNaseP	UNKNOWN	CY5	none
14	A14	0	SARS	UNKNOWN	FAM	none
15	A15	0	IC	UNKNOWN	TAMRA	none
15	A15	0	RNaseP	UNKNOWN	CY5	none
15	A15	0	SARS	UNKNOWN	FAM	none
16	A16	0	IC	UNKNOWN	TAMRA	none
16	A16	0	RNaseP	UNKNOWN	CY5	none
16	A16	0	SARS	UNKNOWN	FAM	none
17	A17	0	IC	UNKNOWN	TAMRA	none
17	A17	0	RNaseP	UNKNOWN	CY5	none
17	A17	0	SARS	UNKNOWN	FAM	none
18	A18	0	IC	UNKNOWN	TAMRA	none
18	A18	0	RNaseP	UNKNOWN	CY5	none
18	A18	0	SARS	UNKNOWN	FAM	none
19	A19	0	IC	UNKNOWN	TAMRA	none
19	A19	0	RNaseP	UNKNOWN	CY5	none
19	A19	0	SARS	UNKNOWN	FAM	none
20	A20	0	IC	UNKNOWN	TAMRA	none
20	A20	0	RNaseP	UNKNOWN	CY5	none
20	A20	0	SARS	UNKNOWN	FAM	none
21	A21	0	IC	UNKNOWN	TAMRA	none
21	A21	0	RNaseP	UNKNOWN	CY5	none
21	A21	0	SARS	UNKNOWN	FAM	none
22	A22	0	IC	UNKNOWN	TAMRA	none
22	A22	0	RNaseP	UNKNOWN	CY5	none
22	A22	0	SARS	UNKNOWN	FAM	none
23	A23	0	IC	UNKNOWN	TAMRA	none
23	A23	0	RNaseP	UNKNOWN	CY5	none
23	A23	0	SARS	UNKNOWN	FAM	none
24	A24	0	IC	UNKNOWN	TAMRA	none
24	A24	0	RNaseP	UNKNOWN	CY5	none
24	A24	0	SARS	UNKNOWN	FAM	none
25	B1	0	IC	UNKNOWN	TAMRA	none
25	B1	0	RNaseP	UNKNOWN	CY5	none
25	B1	0	SARS	UNKNOWN	FAM	none
26	B2	0	IC	UNKNOWN	TAMRA	none
26	B2	0	RNaseP	UNKNOWN	CY5	none
26	B2	0	SARS	UNKNOWN	FAM	none
27	B3	0	IC	UNKNOWN	TAMRA	none
27	B3	0	RNaseP	UNKNOWN	CY5	none
27	B3	0	SARS	UNKNOWN	FAM	none
28	B4	0	IC	UNKNOWN	TAMRA	none
28	B4	0	RNaseP	UNKNOWN	CY5	none
28	B4	0	SARS	UNKNOWN	FAM	none
29	B5	0	IC	UNKNOWN	TAMRA	none
29	B5	0	RNaseP	UNKNOWN	CY5	none
29	B5	0	SARS	UNKNOWN	FAM	none
30	B6	0	IC	UNKNOWN	TAMRA	none
30	B6	0	RNaseP	UNKNOWN	CY5	none
30	B6	0	SARS	UNKNOWN	FAM	none
31	B7	0	IC	UNKNOWN	TAMRA	none
31	B7	0	RNaseP	UNKNOWN	CY5	none
